Attr0,Attr1,Attr2,Attr3,Attr4,Attr5,Attr6,Attr7,Attr8,Attr9,Attr10,Attr11,Attr12,Attr13,Attr14,Attr15,class
-0.53283846,-0.08427719,-1.3005272,-0.90610826,-2.6025746,-1.3200768,-0.8068636,-1.8930712,-1.3395718,-0.6469512,-1.1033537,-0.355247,0.17573284,-1.8183032,-1.9244697,0.28217,1
-0.63922036,-2.1198683,-1.1798571,-1.1941488,-0.16831064,-0.31112042,-0.90384173,-1.6095673,-0.8838613,0.06563078,-0.072592564,-0.39016494,-0.78289986,-0.8154596,-0.878449,-1.8535888,1
0.34814242,1.4176171,0.07874513,0.24694082,0.23579788,1.0106975,0.29214177,1.4940757,1.013334,-0.13181478,0.9328916,1.6477687,0.6427301,1.7841522,0.5512827,1.366203,1
-1.098656,-1.0572789,-1.597688,-1.5042709,-0.8365348,-0.06544026,-1.3844299,-1.0397868,-1.0273634,-0.7577292,-0.6557799,-0.14118108,-1.0326861,-0.40217254,-1.288736,-0.7835687,1
-0.90267944,-1.0262154,-0.92998075,-0.8950566,-0.6135954,-1.8609499,0.11603824,-2.0544767,-0.61535966,0.45518875,-0.2799727,0.9292116,0.0066209584,-1.5513716,-2.2469416,-0.5663161,1
1.3365219,-0.7830829,1.4619206,1.3374362,0.2674316,0.30930954,0.13137762,-0.14263624,0.19623084,0.24347052,0.48485628,0.2560967,0.8109753,0.22374487,-0.11160203,-0.66825205,1
0.6389837,-0.15368739,0.799766,0.7992674,-0.24876717,-1.1515944,1.4764782,-0.95542777,0.72419584,1.221712,0.2435548,1.6352465,1.2548308,-0.4635674,-0.58323306,0.058396176,1
0.20243965,-0.029855542,0.12234915,0.15921187,0.13027614,0.33060086,-0.5570705,0.17922504,-0.221944,-0.47182944,0.3174475,-0.012404598,0.079922244,0.04919559,-0.48344758,0.075406894,1
0.41709948,-1.8859729,0.00013770163,-0.15517235,0.06536083,1.1113818,-0.42327031,-0.38078412,0.51424575,0.23399633,0.68985593,2.2287867,-0.04911632,2.2435014,-0.24170372,-1.6522417,1
1.3545798,-2.2205224,1.4436392,1.0677363,1.0220685,1.2679907,0.32087263,-0.2611128,0.8762263,0.8708292,0.5671067,0.8273243,0.21682599,1.5494725,1.0231205,-2.1798728,1
0.56960285,-0.46115294,0.6429864,0.58993477,0.6027823,0.22306329,-0.14621052,0.031045623,-0.06639718,0.021910794,0.48124507,-0.15424469,0.27849963,-0.2137376,-0.18855661,-0.38347402,1
-1.7549479,-2.122743,-2.3106332,-2.2381408,-1.3687081,-1.1656275,-1.5066314,-2.4512079,-1.3558165,-0.53191376,-0.49862543,1.7356343,-1.0535051,-0.43925706,-3.223966,-1.4994929,1
-1.3986707,-1.7237606,-2.0829346,-1.928405,-2.369283,-0.67285496,-1.9302442,-2.3130682,-1.6600066,-1.154194,-1.54267,0.33212265,-1.1659561,-0.7286154,-2.6144269,-1.2182484,1
-1.7764299,-3.451435,-2.7025034,-2.6612346,-1.9696283,-0.7498892,-2.2782967,-3.2773783,-2.026404,-0.801056,-1.4794666,-0.17715636,-1.8532214,-1.1147424,-2.5510361,-2.9068427,1
-0.74768203,0.24973428,-1.5338173,-1.2730743,-0.5685261,0.014294572,0.24521253,-0.14440304,0.4198057,0.4072842,0.32385957,1.6106937,0.0011146292,0.7274595,0.0025200173,0.37045082,1
3.1831913,2.692831,4.8783545,4.513389,3.3087208,1.3958546,3.3444822,3.5194805,3.3145366,1.6529378,1.6046954,1.1749196,2.560458,1.7858334,3.2155874,2.1217444,1
-0.6916796,-3.1117375,-1.1172202,-1.1625462,-0.7326865,-1.3752118,-2.091953,-2.8550808,-2.2394545,-0.7248595,0.048391417,-0.48639688,-0.7295162,-1.8872846,-3.4019277,-2.4848673,1
-0.34027383,-0.22087291,-0.52205735,-0.54669464,0.89144003,0.75302076,0.13911827,0.51251966,0.70225805,0.30645633,0.5752582,1.0035862,-0.32029843,1.0788072,0.57128835,-0.2399588,1
1.102921,0.102842435,1.3739678,1.2623138,0.8310694,0.43437272,0.88927025,0.53862727,0.87938106,0.65094906,0.5042865,0.2974299,0.7894765,0.37128952,0.90165055,0.025289558,1
-1.0844854,-0.87759125,-0.9268625,-1.0482625,0.011693038,0.04178614,-0.50017446,-0.6719561,-0.14194852,-0.2714655,-0.980657,0.2413213,-1.1237235,-0.063555844,-0.5969781,-0.745546,1
-0.5309165,-1.270127,-0.6007332,-0.6972653,0.15303636,-0.20420948,0.45615685,-0.99828565,0.41165218,0.77485,-0.46035567,0.79525864,-0.45395926,-0.0136130825,0.0577079,-1.1727321,1
-0.004494168,-1.5398191,-0.2421096,-0.39710125,0.55696434,0.9347928,-0.22816998,-0.25427824,0.44759953,0.3133715,0.29812473,0.9704415,-0.4688988,1.2487558,0.34191835,-1.4522607,1
-1.221354,-1.3153803,-1.8077073,-1.6771983,-0.8122683,-0.5177748,-1.2883859,-1.4665047,-1.1899124,-0.53227025,-0.44131026,-0.06837008,-0.93494296,-0.8807068,-1.6549615,-0.9707329,1
0.6443426,-1.1718856,1.0881047,0.7303648,1.1950765,1.0311666,0.6792432,0.27534327,1.3307178,0.76985455,0.3136224,1.8085023,0.04874278,1.9055364,0.7055568,-1.1555662,1
0.023593642,-0.34833416,-0.3317074,-0.12905833,-1.1642404,-0.89523447,-1.027596,-1.1496568,-1.2865499,-0.75320554,-0.0868255,-0.48068044,0.31722727,-1.4339954,-2.0107164,0.005006455,1
0.14942124,-1.8635712,0.23713773,-0.029894121,0.53810245,0.46922302,0.024231344,-0.6708999,0.49306038,0.5325492,0.18162888,1.5741441,-0.24534816,1.1759021,-0.2915229,-1.6624706,1
-0.95609426,-1.3530077,-1.4622328,-1.39409,-0.46612754,0.011308566,-1.1891342,-1.1120578,-0.86612993,-0.5234231,-0.52448153,-0.48557493,-1.0433986,-0.58054197,-0.8090672,-1.1749964,1
0.010953128,-0.902604,-0.26567757,-0.14771178,-1.2923768,-1.52363,-0.05198633,-1.8807943,-0.59454215,0.2478382,0.20096195,1.7578292,0.80481493,-0.7618661,-2.5276086,-0.3624203,1
0.51390207,-2.037321,0.3469025,0.22913343,-0.16291901,-0.33072144,-0.36420783,-1.4354367,-0.33468384,0.29133704,0.504217,1.1135626,0.32957515,0.02887237,-1.4139614,-1.6602244,1
-1.0298209,-0.7874464,-1.4297199,-1.2395765,-2.071137,-1.0688887,-1.1516908,-1.98354,-1.3290937,-0.85612434,-1.5484961,-0.35097602,-0.626796,-1.5168271,-2.084488,-0.42103723,1
0.6412301,-1.0147218,1.3649085,1.1047335,0.77233255,-0.8294455,0.5930117,-0.85700405,0.13389915,0.62822247,0.087800235,0.38050997,0.5301222,-0.85933304,-0.9848535,-0.7998224,1
0.6607042,-1.3385576,1.3574884,0.9608841,2.2197986,1.0026746,-0.20991254,0.5503391,0.54565907,0.09372213,0.8640233,0.20953616,-0.27071938,0.86508584,0.14560634,-1.3371714,1
0.5715703,-2.6509895,-0.11508026,-0.126124,-1.9575627,0.71873903,-2.656002,-1.7286357,-1.8466153,-1.6154157,-0.7338506,-0.5895675,-0.52485085,0.07365438,-2.0142186,-2.202453,1
0.18536678,-2.126045,-0.020749606,-0.2418234,0.5600689,0.6194992,-0.00010558963,-0.74940336,0.53738505,0.68772143,0.5421401,1.6248729,-0.2222099,1.3509321,-0.035402127,-1.930032,1
-0.48719445,-0.17703378,-0.051563837,-0.13268486,0.38642454,-0.74646884,0.03524883,-0.56822383,-0.21816444,-0.006045364,-0.39883462,-0.17914891,-0.24464688,-1.1044185,-0.9403459,-0.027702041,1
-1.4172002,-0.820414,-2.1656325,-1.960186,-1.0971901,-0.17871016,-0.96379864,-1.1701361,-0.79303366,-0.426743,-1.0212725,-0.4602618,-1.1674849,-0.71788484,-0.5321582,-0.68228865,1
1.042008,-2.1247444,0.5040463,0.5742133,-1.5562328,-0.29887626,-2.0196486,-1.8852414,-1.9477308,-1.1838535,-0.060331635,-1.0969627,0.3285494,-1.278014,-2.2773907,-1.6942307,1
0.37843478,1.0637943,0.43769467,0.47506115,0.45660332,0.158414,1.8926803,0.737457,1.7855567,1.3229386,0.47066802,2.223463,0.94823706,1.2458332,1.2229905,0.96287096,1
-1.0652778,-2.264602,-1.4627627,-1.4000906,-1.5363904,-1.5911152,-1.9111431,-2.847103,-2.1568966,-0.9343171,-0.74526674,-0.38041693,-0.7611837,-2.0166295,-3.4882514,-1.639462,1
-0.48864612,-1.6379919,-1.5500128,-1.3450798,-1.8181795,0.4265139,-2.1572769,-1.3184203,-1.412148,-1.2448215,-0.41622213,0.08197006,-0.7337215,0.23713276,-1.6310408,-1.264402,1
0.70691836,-0.43972012,0.4082231,0.5038509,-1.2622367,-0.34487087,0.533298,-0.9888673,0.27954745,0.47133482,-0.3928657,0.99484444,0.83361113,-0.035157926,-0.30253336,-0.26867208,1
0.46101543,0.17421907,1.0530038,0.88942844,1.0623187,0.5827545,0.12751098,0.7105164,0.50094414,-0.15788513,0.078691,0.074450694,0.07551064,0.29884076,0.19020432,0.11252218,1
0.7591044,-0.8517717,1.0383799,0.94032085,0.0690434,-0.65728325,-0.13065737,-0.8640097,-0.35830757,-0.004691772,0.37691858,0.24522623,0.68712205,-0.7687216,-1.4575995,-0.5604524,1
-0.43395028,-2.067472,-1.2863936,-1.1637368,-1.6465226,-0.60921013,-0.885416,-2.1364224,-0.81521434,-0.008591726,-0.16819987,1.5601499,-0.13848576,0.04225783,-1.947442,-1.5775489,1
-1.1007738,-1.9487927,-2.2656024,-1.956734,-2.7444587,-1.4348607,-0.93018484,-3.0737245,-1.3366784,-0.06621506,-1.0801166,0.68899345,-0.40300676,-1.2828624,-2.2279184,-1.4227903,1
-0.86642474,-0.20984226,-1.1141373,-0.96738756,-1.2232099,-0.48826787,-0.81312984,-1.023527,-0.75721955,-0.7157385,-1.0897173,-0.23992434,-0.57417816,-0.89347327,-1.212483,-0.007849835,1
-0.087385364,-2.1473556,-0.4143847,-0.46471784,-1.2347393,0.41824916,-2.2214367,-1.4637122,-1.5117395,-1.4103346,-0.8017675,-0.34882048,-0.8270179,-0.15501806,-1.9789324,-1.7609227,1
0.13733056,-1.1651137,0.1707499,0.013983779,0.031081453,0.31268373,0.15157063,-0.5776637,0.43393388,0.37613064,-0.24303085,1.0153354,-0.1235233,0.685204,-0.06502644,-1.0327158,1
-0.5575687,-1.9474049,-1.1659025,-1.1156689,-1.3950868,-0.07985101,-1.1971018,-1.8128256,-0.93477273,-0.4604468,-0.985356,-0.07630519,-0.79972523,-0.43327692,-1.1225089,-1.657479,1
-0.7904208,-1.1614363,-0.84682643,-0.8445489,-0.40814874,-0.8297034,-1.2159052,-1.2997298,-1.1387758,-0.6675944,-0.07650026,0.5619559,-0.46081337,-0.75328815,-2.5524776,-0.7126073,1
0.008836962,1.5040228,0.6985012,0.6568307,0.94487906,-0.04442749,1.1216555,0.99520344,0.97042704,0.35908708,-0.2304469,0.32144645,0.31418008,-0.16690612,0.63228613,1.3464524,1
0.03724116,-0.14860189,-0.036031924,0.0144051835,-0.82509005,-0.3365488,0.52816486,-0.7258342,0.38191825,0.37126824,-0.6202585,1.0347863,0.3180594,-0.0142261535,-0.30330586,-0.014357589,1
-0.50047076,-1.3767467,-0.9180639,-0.8029168,-1.5369891,-0.8456218,-1.1751056,-1.9876068,-1.3731251,-0.6496011,-1.0739585,-0.8272249,-0.4828057,-1.6086969,-1.7062103,-1.0563979,1
1.883826,0.12724155,2.5049593,2.344832,0.6694188,0.28177753,0.30675644,0.46304265,0.1543815,-0.037371032,0.34846625,-0.8171345,1.1529968,-0.5122736,0.18274966,0.09306507,1
-1.4217374,-1.6104964,-1.1935064,-1.2842886,-0.10187592,-1.3064284,-1.496278,-1.8359793,-1.522537,-0.85394883,-0.5140965,-0.14404973,-1.0823817,-1.6258072,-3.0671396,-1.1324627,1
0.89198804,-2.5248344,0.6697394,0.51026857,-0.7302151,0.015661359,-0.7647135,-1.6900355,-0.43027386,-0.05201467,0.20274894,1.2086844,0.34391907,0.4916683,-1.5628346,-2.1145337,1
-1.0166342,-1.8169161,-1.3972528,-1.3389804,-1.1189812,-0.6563342,-2.087214,-1.888375,-1.8936551,-1.2189782,-0.7459611,-0.6053424,-1.0413847,-1.3142002,-2.6375225,-1.3605317,1
0.053515457,-1.5987583,-0.22813067,-0.22938296,-1.0129867,-0.4633986,-0.9409245,-1.5656736,-0.88297457,-0.3838444,-0.24919453,0.4968261,-0.016234905,-0.43825832,-1.8442842,-1.1945766,1
-0.36383817,-3.1160784,-1.2311689,-1.133246,-2.5394232,-1.0465506,-2.5422795,-3.2079701,-2.453835,-1.1916875,-0.60509497,0.37406492,-0.46169153,-1.078915,-3.8198812,-2.3625247,1
0.00045289844,-1.1716762,-0.03459496,-0.06382484,-1.2838274,-0.6561237,-0.23359564,-1.6149217,-0.39485237,-0.034993596,-0.9574219,0.7352147,0.052897207,-0.49218085,-1.400738,-0.84511656,1
0.90148586,0.76561415,1.0978537,1.1452382,-0.32860357,-0.18383217,1.1157311,0.17111737,0.87276095,0.5565811,0.007420972,1.3345615,1.1833445,0.30845192,0.07802841,0.8036839,1
1.0943947,0.21001649,0.7778877,0.9467014,-1.1654308,1.047349,-1.1365852,0.3294759,-0.5973236,-1.2212492,-0.5202147,-0.82652134,0.36723495,0.13478988,-0.092458166,0.20223282,1
-0.033193298,1.196597,0.55536836,0.6230319,-0.03016559,-1.6345451,0.8942376,-0.3900396,0.03146343,0.27769393,-0.08364051,0.4363778,0.9165226,-1.6029925,-1.4452302,1.4107068,1
-1.0730402,-2.5446224,-1.9496477,-1.7363997,-3.051579,-1.8564138,-1.5776087,-3.6414452,-1.8916187,-0.55993044,-0.99640286,1.8492529,-0.29362512,-1.110383,-4.0836267,-1.7459127,1
-0.6631223,-0.48833016,-1.2861593,-1.0757569,-1.9215136,0.13168874,-1.4886057,-0.95060086,-0.99789035,-1.1787244,-1.1332515,0.07823505,-0.6295447,-0.070255496,-1.3475757,-0.22585136,1
0.2723338,2.377209,0.31974825,0.5114666,-0.48584035,0.67620045,1.3705292,1.4182271,1.651677,0.24684125,-0.48238662,1.4145727,0.74560314,1.3022994,1.4978248,2.1175315,1
-0.78079885,-1.196572,-1.7756441,-1.5084082,-2.0617092,-0.08110183,-1.7997439,-1.556222,-1.4474481,-1.0935516,-0.90571785,-0.41023007,-0.76818407,-0.6007888,-1.497481,-0.87390447,1
0.93756163,-0.93330204,0.6614364,0.7007875,-1.1567008,-0.2884134,-0.09546659,-1.0755236,-0.17479828,0.09369762,0.05520289,1.1233212,0.8943534,0.115677975,-1.1348153,-0.6164037,1
-0.37262434,-0.4253991,-0.36117002,-0.31227538,-0.3230116,-0.22448373,-1.717806,-0.50472754,-1.4675417,-1.350838,-0.18344563,-0.81639665,-0.46994147,-1.025309,-2.0499256,-0.11591623,1
-0.65103257,-0.23838341,-0.22264177,-0.31766698,0.57573444,-0.42883614,-0.4527255,-0.30396956,-0.3264141,-0.4085541,-0.1395719,0.12437161,-0.46358112,-0.6076329,-1.2992123,-0.049511887,1
2.2240298,1.1216835,2.9143786,2.6913662,2.3133903,1.187218,2.1678538,2.1965475,2.3704925,1.4077722,1.9224151,1.8140615,1.8884841,2.0013897,2.0338705,0.8697387,1
-0.8616973,0.38386887,-1.4318353,-1.2037153,-0.18580583,-0.29035437,0.6566789,-0.21351019,0.4987905,0.6877806,0.041609637,0.7968171,-0.112746514,-0.09208473,0.47152397,0.38508603,1
-0.19364724,-0.74936455,-0.656773,-0.5068161,-1.2942808,-0.4111527,-0.75160086,-1.1696776,-0.550612,-0.4763458,-0.1590941,1.0596482,0.12463224,-0.04812356,-1.7098894,-0.39832434,1
0.39501333,-1.366399,0.062028375,0.10823685,-1.7133752,-0.28585014,-1.0971005,-1.5519105,-0.9716157,-0.68621314,-0.6843417,0.3029996,0.15386084,-0.36522257,-1.7950873,-0.97740674,1
0.044278048,-0.33978006,0.13967048,0.124576375,0.1972472,0.48137742,-1.5002809,0.1335424,-1.0167503,-1.2178848,-0.04678025,-0.953756,-0.44308397,-0.44831863,-1.0610893,-0.2010254,1
-0.6028103,0.5672283,-0.3736361,-0.30183575,-0.9158906,-0.1684834,-1.1450915,-0.20261264,-0.99661076,-1.3057878,-1.2650269,-0.7100687,-0.5543641,-0.8917694,-1.3864082,0.7438307,1
0.42895028,-0.97161317,0.60203093,0.6172989,-1.3105583,-1.9957972,0.50074387,-2.2852879,-0.5129921,0.529808,-0.48633274,0.956124,1.0529361,-1.7028489,-2.357067,-0.4889383,1
1.6981213,-0.8444916,2.1341126,1.8818451,0.82378036,0.5664897,0.27999774,0.14256626,0.42554995,0.28951925,0.5831603,0.020227335,0.86791754,0.3368954,0.23017263,-0.8012966,1
-1.5668213,-0.6395932,-1.795715,-1.6381917,-1.3421586,-1.9595087,-0.27353114,-2.1855233,-0.9344857,0.02549082,-0.90776396,0.78986645,-0.41230175,-1.7025172,-2.512059,-0.16038015,1
-1.3671274,-1.9122243,-1.6454439,-1.6700882,-0.76009154,-0.44689932,-1.6711637,-1.7547345,-1.3164464,-0.87192166,-0.8832972,-0.07337294,-1.3587025,-0.7515077,-2.098155,-1.5274674,1
0.74141145,-1.3657038,0.7544108,0.7033786,-1.1795745,-0.119206704,-1.1958226,-1.3495275,-1.1643384,-0.87068164,-0.9402908,-1.0276566,0.033072017,-1.0671235,-1.3276259,-1.1220539,1
-1.0369165,-0.6381779,-1.8809876,-1.610878,-2.1800761,-0.87399465,0.061234534,-1.7642026,-0.015684687,0.3154105,-0.6990613,2.5898418,-0.0032932013,0.38470566,-1.5098779,-0.22923866,1
1.2415829,-2.5487328,1.661056,1.286904,0.2853611,-0.177165,0.087220535,-1.5277332,0.016793877,0.61678845,0.10423266,0.80733275,0.4858469,0.014073893,-0.9664583,-2.2336218,1
-1.4033744,-0.71437633,-1.7688494,-1.6197078,-0.91704214,-0.8733752,-1.0551207,-1.4104657,-1.0016011,-0.6579717,-0.60161096,0.17709944,-0.8126595,-1.0188826,-1.9523723,-0.37725288,1
0.6990652,1.1221718,1.7225857,1.4403661,2.949533,0.93067455,1.7768055,2.1236873,2.1238768,1.098341,1.1013052,1.0715228,0.50285035,1.3094507,1.8598495,0.7930992,1
-0.93973756,-2.3160825,-1.350081,-1.3564714,-1.3145856,-0.98962235,-1.0724598,-2.5518286,-1.331344,-0.19901446,-1.2510859,-0.47022453,-0.9452112,-1.5167743,-1.7419366,-1.9265418,1
-0.23979434,-2.626849,-0.6613782,-0.72096556,-1.3345723,-0.08540244,-1.8781204,-2.114181,-1.434808,-0.9459336,-0.8283118,-0.21837148,-0.79535127,-0.4968206,-2.0385234,-2.2008893,1
-2.372451,-1.6156482,-2.802903,-2.6980877,-1.1204208,-1.6038688,-1.3331562,-2.4754894,-1.5998597,-0.48289087,-1.1212271,0.048744164,-1.5340084,-1.7981693,-2.7353039,-1.103995,1
-0.26636305,-1.3680093,-0.8534976,-0.77417475,-1.1377729,0.24753806,-1.3156272,-1.0967284,-0.85794234,-0.70652,-0.48247114,0.065205775,-0.51873595,0.014804676,-1.0984678,-1.0967643,1
-0.39039296,-0.5005953,-0.14455286,-0.1748909,-0.61653453,-0.8487859,-0.21735969,-1.1772444,-0.46774825,-0.21771273,-0.91825926,0.0031709895,-0.18470386,-1.1029328,-1.3309906,-0.26850685,1
-0.623996,0.34079805,-0.9524723,-0.74783313,-1.0771232,-0.42151842,-0.28281125,-0.5875728,-0.33749446,-0.35095137,-0.72897816,0.06819954,-0.16728258,-0.6328447,-0.6756853,0.47548428,1
