attribute,idx1,val1,idx2,val2,diff
Attr0,0,60.0,2,58.0,2.0
Attr0,0,60.0,10,61.0,1.0
Attr0,0,60.0,11,58.0,2.0
Attr0,1,65.0,4,63.0,2.0
Attr0,1,65.0,8,64.0,1.0
Attr0,2,58.0,5,57.0,1.0
Attr0,2,58.0,11,58.0,0.0
Attr0,4,63.0,8,64.0,1.0
Attr0,4,63.0,10,61.0,2.0
Attr0,5,57.0,6,55.0,2.0
Attr0,5,57.0,11,58.0,1.0
Attr1,0,1.0,1,0.0,1.0
Attr1,0,1.0,2,1.0,0.0
Attr1,0,1.0,3,1.0,0.0
Attr1,0,1.0,4,0.0,1.0
Attr1,0,1.0,5,1.0,0.0
Attr1,0,1.0,6,1.0,0.0
Attr1,0,1.0,7,1.0,0.0
Attr1,0,1.0,8,1.0,0.0
Attr1,0,1.0,9,1.0,0.0
Attr1,0,1.0,10,1.0,0.0
Attr1,0,1.0,11,1.0,0.0
Attr1,0,1.0,12,1.0,0.0
Attr1,1,0.0,2,1.0,1.0
Attr1,1,0.0,3,1.0,1.0
Attr1,1,0.0,4,0.0,0.0
Attr1,1,0.0,5,1.0,1.0
Attr1,1,0.0,6,1.0,1.0
Attr1,1,0.0,7,1.0,1.0
Attr1,1,0.0,8,1.0,1.0
Attr1,1,0.0,9,1.0,1.0
Attr1,1,0.0,10,1.0,1.0
Attr1,1,0.0,11,1.0,1.0
Attr1,1,0.0,12,1.0,1.0
Attr1,2,1.0,3,1.0,0.0
Attr1,2,1.0,4,0.0,1.0
Attr1,2,1.0,5,1.0,0.0
Attr1,2,1.0,6,1.0,0.0
Attr1,2,1.0,7,1.0,0.0
Attr1,2,1.0,8,1.0,0.0
Attr1,2,1.0,9,1.0,0.0
Attr1,2,1.0,10,1.0,0.0
Attr1,2,1.0,11,1.0,0.0
Attr1,2,1.0,12,1.0,0.0
Attr1,3,1.0,4,0.0,1.0
Attr1,3,1.0,5,1.0,0.0
Attr1,3,1.0,6,1.0,0.0
Attr1,3,1.0,7,1.0,0.0
Attr1,3,1.0,8,1.0,0.0
Attr1,3,1.0,9,1.0,0.0
Attr1,3,1.0,10,1.0,0.0
Attr1,3,1.0,11,1.0,0.0
Attr1,3,1.0,12,1.0,0.0
Attr1,4,0.0,5,1.0,1.0
Attr1,4,0.0,6,1.0,1.0
Attr1,4,0.0,7,1.0,1.0
Attr1,4,0.0,8,1.0,1.0
Attr1,4,0.0,9,1.0,1.0
Attr1,4,0.0,10,1.0,1.0
Attr1,4,0.0,11,1.0,1.0
Attr1,4,0.0,12,1.0,1.0
Attr1,5,1.0,6,1.0,0.0
Attr1,5,1.0,7,1.0,0.0
Attr1,5,1.0,8,1.0,0.0
Attr1,5,1.0,9,1.0,0.0
Attr1,5,1.0,10,1.0,0.0
Attr1,5,1.0,11,1.0,0.0
Attr1,5,1.0,12,1.0,0.0
Attr1,6,1.0,7,1.0,0.0
Attr1,6,1.0,8,1.0,0.0
Attr1,6,1.0,9,1.0,0.0
Attr1,6,1.0,10,1.0,0.0
Attr1,6,1.0,11,1.0,0.0
Attr1,6,1.0,12,1.0,0.0
Attr1,7,1.0,8,1.0,0.0
Attr1,7,1.0,9,1.0,0.0
Attr1,7,1.0,10,1.0,0.0
Attr1,7,1.0,11,1.0,0.0
Attr1,7,1.0,12,1.0,0.0
Attr1,8,1.0,9,1.0,0.0
Attr1,8,1.0,10,1.0,0.0
Attr1,8,1.0,11,1.0,0.0
Attr1,8,1.0,12,1.0,0.0
Attr1,9,1.0,10,1.0,0.0
Attr1,9,1.0,11,1.0,0.0
Attr1,9,1.0,12,1.0,0.0
Attr1,10,1.0,11,1.0,0.0
Attr1,10,1.0,12,1.0,0.0
Attr1,11,1.0,12,1.0,0.0
Attr2,0,4.0,1,4.0,0.0
Attr2,0,4.0,2,3.0,1.0
Attr2,0,4.0,3,4.0,0.0
Attr2,0,4.0,4,4.0,0.0
Attr2,0,4.0,5,4.0,0.0
Attr2,0,4.0,6,4.0,0.0
Attr2,0,4.0,7,4.0,0.0
Attr2,0,4.0,8,4.0,0.0
Attr2,0,4.0,10,4.0,0.0
Attr2,0,4.0,11,4.0,0.0
Attr2,0,4.0,12,4.0,0.0
Attr2,1,4.0,2,3.0,1.0
Attr2,1,4.0,3,4.0,0.0
Attr2,1,4.0,4,4.0,0.0
Attr2,1,4.0,5,4.0,0.0
Attr2,1,4.0,6,4.0,0.0
Attr2,1,4.0,7,4.0,0.0
Attr2,1,4.0,8,4.0,0.0
Attr2,1,4.0,10,4.0,0.0
Attr2,1,4.0,11,4.0,0.0
Attr2,1,4.0,12,4.0,0.0
Attr2,2,3.0,3,4.0,1.0
Attr2,2,3.0,4,4.0,1.0
Attr2,2,3.0,5,4.0,1.0
