attribute,idx1,val1,idx2,val2,diff
Attr0,0,2,1,1,1.0
Attr0,0,2,2,2,0.0
Attr0,0,2,3,2,0.0
Attr0,0,2,4,2,0.0
Attr0,0,2,5,2,0.0
Attr0,0,2,6,1,1.0
Attr0,0,2,7,2,0.0
Attr0,0,2,8,2,0.0
Attr0,0,2,9,2,0.0
Attr0,0,2,10,2,0.0
Attr0,0,2,11,3,1.0
Attr0,0,2,12,2,0.0
Attr0,0,2,13,3,1.0
Attr0,0,2,14,2,0.0
Attr0,0,2,15,2,0.0
Attr0,0,2,16,2,0.0
Attr0,0,2,17,2,0.0
Attr0,0,2,18,3,1.0
Attr0,0,2,19,2,0.0
Attr0,1,1,2,2,1.0
Attr0,1,1,3,2,1.0
Attr0,1,1,4,2,1.0
Attr0,1,1,5,2,1.0
Attr0,1,1,6,1,0.0
Attr0,1,1,7,2,1.0
Attr0,1,1,8,2,1.0
Attr0,1,1,9,2,1.0
Attr0,1,1,10,2,1.0
Attr0,1,1,11,3,2.0
Attr0,1,1,12,2,1.0
Attr0,1,1,13,3,2.0
Attr0,1,1,14,2,1.0
Attr0,1,1,15,2,1.0
Attr0,1,1,16,2,1.0
Attr0,1,1,17,2,1.0
Attr0,1,1,18,3,2.0
Attr0,1,1,19,2,1.0
Attr0,2,2,3,2,0.0
Attr0,2,2,4,2,0.0
Attr0,2,2,5,2,0.0
Attr0,2,2,6,1,1.0
Attr0,2,2,7,2,0.0
Attr0,2,2,8,2,0.0
Attr0,2,2,9,2,0.0
Attr0,2,2,10,2,0.0
Attr0,2,2,11,3,1.0
Attr0,2,2,12,2,0.0
Attr0,2,2,13,3,1.0
Attr0,2,2,14,2,0.0
Attr0,2,2,15,2,0.0
Attr0,2,2,16,2,0.0
Attr0,2,2,17,2,0.0
Attr0,2,2,18,3,1.0
Attr0,2,2,19,2,0.0
Attr0,3,2,4,2,0.0
Attr0,3,2,5,2,0.0
Attr0,3,2,6,1,1.0
Attr0,3,2,7,2,0.0
Attr0,3,2,8,2,0.0
Attr0,3,2,9,2,0.0
Attr0,3,2,10,2,0.0
Attr0,3,2,11,3,1.0
Attr0,3,2,12,2,0.0
Attr0,3,2,13,3,1.0
Attr0,3,2,14,2,0.0
Attr0,3,2,15,2,0.0
Attr0,3,2,16,2,0.0
Attr0,3,2,17,2,0.0
Attr0,3,2,18,3,1.0
Attr0,3,2,19,2,0.0
Attr0,4,2,5,2,0.0
Attr0,4,2,6,1,1.0
Attr0,4,2,7,2,0.0
Attr0,4,2,8,2,0.0
Attr0,4,2,9,2,0.0
Attr0,4,2,10,2,0.0
Attr0,4,2,11,3,1.0
Attr0,4,2,12,2,0.0
Attr0,4,2,13,3,1.0
