attribute,idx1,val1,idx2,val2,diff
Attr2,0,7.4,1,4.1,3.3000000000000007
Attr3,0,1.8,1,0.5,1.3
Attr4,0,-0.6,1,0.2,0.8
Attr1,0,23.3,2,20.3,3.0
Attr2,0,7.4,2,3.7,3.7
Attr3,0,1.8,2,0.6,1.2000000000000002
Attr4,0,-0.6,2,0.2,0.8
Attr1,0,23.3,3,21.5,1.8000000000000007
Attr2,0,7.4,3,2.7,4.7
Attr3,0,1.8,3,1.1,0.7
Attr4,0,-0.6,3,-0.6,0.0
Attr2,0,7.4,4,3.0,4.4
Attr3,0,1.8,4,1.1,0.7
Attr4,0,-0.6,4,0.0,0.6
Attr2,0,7.4,5,3.6,3.8000000000000003
Attr3,0,1.8,5,0.7,1.1
Attr4,0,-0.6,5,-0.1,0.5
Attr1,0,23.3,6,16.0,7.300000000000001
Attr2,0,7.4,6,2.1,5.300000000000001
Attr3,0,1.8,6,0.9,0.9
Attr4,0,-0.6,6,-0.1,0.5
Attr2,0,7.4,7,3.6,3.8000000000000003
Attr3,0,1.8,7,1.5,0.30000000000000004
Attr4,0,-0.6,7,0.3,0.8999999999999999
Attr2,0,7.4,8,1.8,5.6000000000000005
Attr3,0,1.8,8,1.2,0.6000000000000001
Attr4,0,-0.6,8,-0.2,0.39999999999999997
Attr1,0,23.3,9,20.1,3.1999999999999993
Attr2,0,7.4,9,7.3,0.10000000000000053
Attr3,0,1.8,9,1.1,0.7
Attr4,0,-0.6,9,-0.2,0.39999999999999997
Attr0,0,67.0,10,65.0,2.0
Attr1,0,23.3,10,25.3,2.0
Attr2,0,7.4,10,5.8,1.6000000000000005
Attr3,0,1.8,10,1.3,0.5
Attr4,0,-0.6,10,0.2,0.8
Attr1,0,23.3,11,16.4,6.900000000000002
Attr2,0,7.4,11,4.8,2.6000000000000005
Attr3,0,1.8,11,0.6,1.2000000000000002
Attr4,0,-0.6,11,0.1,0.7
Attr1,0,23.3,12,16.7,6.600000000000001
Attr2,0,7.4,12,4.3,3.1000000000000005
Attr3,0,1.8,12,1.7,0.10000000000000009
Attr4,0,-0.6,12,0.2,0.8
Attr1,0,23.3,13,16.4,6.900000000000002
Attr2,0,7.4,13,3.8,3.6000000000000005
Attr3,0,1.8,13,1.1,0.7
Attr4,0,-0.6,13,-0.2,0.39999999999999997
Attr1,0,23.3,14,23.0,0.3000000000000007
Attr2,0,7.4,14,10.0,2.5999999999999996
Attr3,0,1.8,14,0.9,0.9
Attr4,0,-0.6,14,-0.1,0.5
Attr1,0,23.3,15,24.1,0.8000000000000007
Attr2,0,7.4,15,5.5,1.9000000000000004
Attr3,0,1.8,15,0.8,1.0
Attr4,0,-0.6,15,0.1,0.7
Attr1,0,23.3,16,17.2,6.100000000000001
Attr2,0,7.4,16,1.8,5.6000000000000005
Attr3,0,1.8,16,1.0,0.8
Attr4,0,-0.6,16,0.0,0.6
Attr2,0,7.4,17,2.0,5.4
Attr3,0,1.8,17,0.7,1.1
Attr4,0,-0.6,17,-0.2,0.39999999999999997
Attr1,0,23.3,18,20.5,2.8000000000000007
Attr2,0,7.4,18,1.8,5.6000000000000005
Attr3,0,1.8,18,1.4,0.40000000000000013
Attr4,0,-0.6,18,-0.5,0.09999999999999998
Attr2,0,7.4,19,3.1,4.300000000000001
Attr3,0,1.8,19,0.5,1.3
Attr4,0,-0.6,19,-0.1,0.5
Attr1,0,23.3,20,22.3,1.0
Attr2,0,7.4,20,3.3,4.1000000000000005
Attr3,0,1.8,20,1.3,0.5
Attr4,0,-0.6,20,0.6,1.2
Attr1,0,23.3,21,17.5,5.800000000000001
Attr2,0,7.4,21,1.9,5.5
Attr3,0,1.8,21,1.4,0.40000000000000013
Attr4,0,-0.6,21,0.3,0.8999999999999999
Attr2,0,7.4,22,2.7,4.7
Attr3,0,1.8,22,1.6,0.19999999999999996
Attr4,0,-0.6,22,-0.3,0.3
Attr1,0,23.3,23,25.3,2.0
Attr2,0,7.4,23,4.5,2.9000000000000004
Attr3,0,1.8,23,1.2,0.6000000000000001
Attr4,0,-0.6,23,-0.1,0.5
Attr2,0,7.4,24,2.7,4.7
Attr3,0,1.8,24,0.1,1.7
Attr4,0,-0.6,24,0.2,0.8
Attr1,0,23.3,25,18.5,4.800000000000001
Attr2,0,7.4,25,4.4,3.0
Attr3,0,1.8,25,1.1,0.7
Attr4,0,-0.6,25,-0.3,0.3
Attr1,0,23.3,26,21.8,1.5
Attr2,0,7.4,26,7.1,0.3000000000000007
Attr3,0,1.8,26,0.7,1.1
Attr4,0,-0.6,26,-0.1,0.5
Attr2,0,7.4,27,3.3,4.1000000000000005
Attr3,0,1.8,27,1.1,0.7
Attr4,0,-0.6,27,0.0,0.6
Attr1,0,23.3,28,23.8,0.5
Attr2,0,7.4,28,5.4,2.0
Attr3,0,1.8,28,0.5,1.3
Attr4,0,-0.6,28,0.1,0.7
Attr0,0,67.0,29,68.0,1.0
Attr2,0,7.4,29,7.8,0.39999999999999947
Attr3,0,1.8,29,0.6,1.2000000000000002
Attr4,0,-0.6,29,-0.2,0.39999999999999997
Attr1,0,23.3,30,17.4,5.900000000000002
Attr2,0,7.4,30,1.6,5.800000000000001
Attr3,0,1.8,30,0.3,1.5
Attr4,0,-0.6,30,0.4,1.0
Attr0,0,67.0,31,65.0,2.0
Attr1,0,23.3,31,18.2,5.100000000000001
Attr2,0,7.4,31,10.0,2.5999999999999996
Attr3,0,1.8,31,1.3,0.5
Attr4,0,-0.6,31,0.1,0.7
Attr1,0,23.3,32,19.0,4.300000000000001
Attr2,0,7.4,32,5.5,1.9000000000000004
Attr3,0,1.8,32,0.9,0.9
Attr4,0,-0.6,32,0.3,0.8999999999999999
Attr1,0,23.3,33,16.5,6.800000000000001
Attr2,0,7.4,33,4.9,2.5
Attr3,0,1.8,33,0.8,1.0
Attr4,0,-0.6,33,0.1,0.7
Attr2,0,7.4,34,1.9,5.5
Attr3,0,1.8,34,0.7,1.1
Attr4,0,-0.6,34,-0.2,0.39999999999999997
Attr1,1,14.3,2,20.3,6.0
Attr2,1,4.1,2,3.7,0.39999999999999947
Attr3,1,0.5,2,0.6,0.09999999999999998
Attr4,1,0.2,2,0.2,0.0
Attr0,1,89.0,3,84.0,5.0
Attr1,1,14.3,3,21.5,7.199999999999999
Attr2,1,4.1,3,2.7,1.3999999999999995
Attr3,1,0.5,3,1.1,0.6000000000000001
Attr4,1,0.2,3,-0.6,0.8
Attr1,1,14.3,4,13.4,0.9000000000000004
Attr2,1,4.1,4,3.0,1.0999999999999996
Attr3,1,0.5,4,1.1,0.6000000000000001
Attr4,1,0.2,4,0.0,0.2
Attr1,1,14.3,5,13.0,1.3000000000000007
Attr2,1,4.1,5,3.6,0.49999999999999956
Attr3,1,0.5,5,0.7,0.19999999999999996
Attr4,1,0.2,5,-0.1,0.30000000000000004
Attr1,1,14.3,6,16.0,1.6999999999999993
Attr2,1,4.1,6,2.1,1.9999999999999996
Attr3,1,0.5,6,0.9,0.4
Attr4,1,0.2,6,-0.1,0.30000000000000004
Attr0,1,89.0,7,97.0,8.0
Attr1,1,14.3,7,14.2,0.10000000000000142
Attr2,1,4.1,7,3.6,0.49999999999999956
Attr3,1,0.5,7,1.5,1.0
Attr4,1,0.2,7,0.3,0.09999999999999998
Attr0,1,89.0,8,97.0,8.0
Attr1,1,14.3,8,15.1,0.7999999999999989
Attr2,1,4.1,8,1.8,2.3
Attr3,1,0.5,8,1.2,0.7
Attr4,1,0.2,8,-0.2,0.4
Attr0,1,89.0,9,89.0,0.0
Attr1,1,14.3,9,20.1,5.800000000000001
Attr2,1,4.1,9,7.3,3.2
Attr3,1,0.5,9,1.1,0.6000000000000001
Attr4,1,0.2,9,-0.2,0.4
Attr2,1,4.1,10,5.8,1.7000000000000002
Attr3,1,0.5,10,1.3,0.8
Attr4,1,0.2,10,0.2,0.0
Attr1,1,14.3,11,16.4,2.099999999999998
Attr2,1,4.1,11,4.8,0.7000000000000002
Attr3,1,0.5,11,0.6,0.09999999999999998
Attr4,1,0.2,11,0.1,0.1
Attr1,1,14.3,12,16.7,2.3999999999999986
Attr2,1,4.1,12,4.3,0.20000000000000018
Attr3,1,0.5,12,1.7,1.2
Attr4,1,0.2,12,0.2,0.0
Attr1,1,14.3,13,16.4,2.099999999999998
Attr2,1,4.1,13,3.8,0.2999999999999998
Attr3,1,0.5,13,1.1,0.6000000000000001
Attr4,1,0.2,13,-0.2,0.4
Attr2,1,4.1,14,10.0,5.9
Attr3,1,0.5,14,0.9,0.4
Attr4,1,0.2,14,-0.1,0.30000000000000004
Attr0,1,89.0,15,88.0,1.0
Attr2,1,4.1,15,5.5,1.4000000000000004
Attr3,1,0.5,15,0.8,0.30000000000000004
Attr4,1,0.2,15,0.1,0.1
Attr1,1,14.3,16,17.2,2.8999999999999986
Attr2,1,4.1,16,1.8,2.3
Attr3,1,0.5,16,1.0,0.5
Attr4,1,0.2,16,0.0,0.2
Attr0,1,89.0,17,92.0,3.0
Attr1,1,14.3,17,11.1,3.200000000000001
Attr2,1,4.1,17,2.0,2.0999999999999996
Attr3,1,0.5,17,0.7,0.19999999999999996
Attr4,1,0.2,17,-0.2,0.4
Attr0,1,89.0,18,94.0,5.0
Attr1,1,14.3,18,20.5,6.199999999999999
Attr2,1,4.1,18,1.8,2.3
Attr3,1,0.5,18,1.4,0.8999999999999999
Attr4,1,0.2,18,-0.5,0.7
Attr1,1,14.3,19,13.0,1.3000000000000007
Attr2,1,4.1,19,3.1,0.9999999999999996
Attr3,1,0.5,19,0.5,0.0
Attr4,1,0.2,19,-0.1,0.30000000000000004
Attr1,1,14.3,20,22.3,8.0
Attr2,1,4.1,20,3.3,0.7999999999999998
Attr3,1,0.5,20,1.3,0.8
Attr4,1,0.2,20,0.6,0.39999999999999997
Attr1,1,14.3,21,17.5,3.1999999999999993
Attr2,1,4.1,21,1.9,2.1999999999999997
Attr3,1,0.5,21,1.4,0.8999999999999999
Attr4,1,0.2,21,0.3,0.09999999999999998
Attr0,1,89.0,22,95.0,6.0
Attr1,1,14.3,22,11.1,3.200000000000001
Attr2,1,4.1,22,2.7,1.3999999999999995
Attr3,1,0.5,22,1.6,1.1
Attr4,1,0.2,22,-0.3,0.5
Attr2,1,4.1,23,4.5,0.40000000000000036
Attr3,1,0.5,23,1.2,0.7
Attr4,1,0.2,23,-0.1,0.30000000000000004
Attr0,1,89.0,24,88.0,1.0
Attr1,1,14.3,24,12.9,1.4000000000000004
Attr2,1,4.1,24,2.7,1.3999999999999995
Attr3,1,0.5,24,0.1,0.4
Attr4,1,0.2,24,0.2,0.0
Attr0,1,89.0,25,84.0,5.0
Attr1,1,14.3,25,18.5,4.199999999999999
Attr2,1,4.1,25,4.4,0.3000000000000007
Attr3,1,0.5,25,1.1,0.6000000000000001
Attr4,1,0.2,25,-0.3,0.5
Attr0,1,89.0,26,89.0,0.0
Attr1,1,14.3,26,21.8,7.5
Attr2,1,4.1,26,7.1,3.0
Attr3,1,0.5,26,0.7,0.19999999999999996
Attr4,1,0.2,26,-0.1,0.30000000000000004
Attr1,1,14.3,27,12.0,2.3000000000000007
Attr2,1,4.1,27,3.3,0.7999999999999998
Attr3,1,0.5,27,1.1,0.6000000000000001
Attr4,1,0.2,27,0.0,0.2
Attr0,1,89.0,28,89.0,0.0
Attr2,1,4.1,28,5.4,1.3000000000000007
Attr3,1,0.5,28,0.5,0.0
Attr4,1,0.2,28,0.1,0.1
Attr1,1,14.3,29,14.7,0.3999999999999986
Attr2,1,4.1,29,7.8,3.7
Attr3,1,0.5,29,0.6,0.09999999999999998
Attr4,1,0.2,29,-0.2,0.4
Attr1,1,14.3,30,17.4,3.099999999999998
Attr2,1,4.1,30,1.6,2.4999999999999996
Attr3,1,0.5,30,0.3,0.2
Attr4,1,0.2,30,0.4,0.2
Attr1,1,14.3,31,18.2,3.8999999999999986
Attr2,1,4.1,31,10.0,5.9
Attr3,1,0.5,31,1.3,0.8
Attr4,1,0.2,31,0.1,0.1
Attr1,1,14.3,32,19.0,4.699999999999999
Attr2,1,4.1,32,5.5,1.4000000000000004
Attr3,1,0.5,32,0.9,0.4
Attr4,1,0.2,32,0.3,0.09999999999999998
Attr0,1,89.0,33,88.0,1.0
Attr1,1,14.3,33,16.5,2.1999999999999993
Attr2,1,4.1,33,4.9,0.8000000000000007
Attr3,1,0.5,33,0.8,0.30000000000000004
Attr4,1,0.2,33,0.1,0.1
Attr1,1,14.3,34,15.2,0.8999999999999986
Attr2,1,4.1,34,1.9,2.1999999999999997
Attr3,1,0.5,34,0.7,0.19999999999999996
Attr4,1,0.2,34,-0.2,0.4
Attr1,2,20.3,3,21.5,1.1999999999999993
Attr2,2,3.7,3,2.7,1.0
Attr3,2,0.6,3,1.1,0.5000000000000001
Attr4,2,0.2,3,-0.6,0.8
Attr0,2,110.0,4,106.0,4.0
Attr1,2,20.3,4,13.4,6.9
Attr2,2,3.7,4,3.0,0.7000000000000002
Attr3,2,0.6,4,1.1,0.5000000000000001
Attr4,2,0.2,4,0.0,0.2
Attr1,2,20.3,5,13.0,7.300000000000001
Attr2,2,3.7,5,3.6,0.10000000000000009
Attr3,2,0.6,5,0.7,0.09999999999999998
Attr4,2,0.2,5,-0.1,0.30000000000000004
Attr0,2,110.0,6,111.0,1.0
Attr1,2,20.3,6,16.0,4.300000000000001
Attr2,2,3.7,6,2.1,1.6
Attr3,2,0.6,6,0.9,0.30000000000000004
Attr4,2,0.2,6,-0.1,0.30000000000000004
Attr1,2,20.3,7,14.2,6.100000000000001
Attr2,2,3.7,7,3.6,0.10000000000000009
