attribute,idx1,val1,idx2,val2,diff
Attr0,0,0,1,1,1
Attr1,0,13,1,16,3
Attr3,0,28,1,35,7
Attr0,0,0,2,2,2
Attr1,0,13,2,20,7
Attr0,0,0,3,2,2
Attr1,0,13,3,7,6
Attr0,0,0,4,2,2
Attr1,0,13,4,9,4
Attr3,0,28,4,22,6
Attr0,0,0,5,5,5
Attr0,0,0,6,2,2
Attr1,0,13,6,10,3
Attr3,0,28,6,28,0
Attr0,0,0,7,2,2
Attr1,0,13,7,6,7
Attr0,0,0,8,2,2
Attr1,0,13,8,5,8
Attr0,0,0,9,2,2
Attr1,0,13,9,14,1
Attr0,0,0,10,2,2
Attr1,0,13,10,15,2
Attr0,0,0,11,2,2
Attr1,0,13,11,6,7
Attr0,0,0,12,2,2
Attr0,0,0,13,2,2
Attr0,0,0,14,2,2
Attr1,0,13,14,6,7
Attr0,0,0,15,2,2
Attr1,0,13,15,6,7
Attr0,0,0,16,4,4
Attr1,0,13,16,12,1
Attr3,0,28,16,34,6
Attr0,0,0,17,4,4
Attr1,0,13,17,5,8
Attr0,0,0,18,4,4
Attr1,0,13,18,10,3
Attr3,0,28,18,28,0
Attr0,0,0,19,4,4
Attr1,0,13,19,10,3
Attr3,0,28,19,28,0
Attr0,0,0,20,4,4
Attr1,0,13,20,9,4
Attr3,0,28,20,26,2
Attr0,0,0,21,2,2
Attr1,0,13,21,8,5
Attr3,0,28,21,28,0
Attr0,0,0,22,2,2
Attr1,0,13,22,12,1
Attr0,0,0,23,4,4
Attr1,0,13,23,6,7
Attr0,0,0,24,2,2
Attr1,0,13,24,14,1
Attr0,0,0,25,4,4
Attr1,0,13,25,7,6
Attr3,0,28,25,22,6
Attr0,0,0,26,2,2
Attr1,0,13,26,13,0
Attr2,0,3250,26,3250,0
Attr0,0,0,27,2,2
Attr1,0,13,27,5,8
Attr0,0,0,28,4,4
Attr1,0,13,28,20,7
Attr0,0,0,29,4,4
Attr1,0,13,29,9,4
Attr3,0,28,29,28,0
Attr0,0,0,30,2,2
Attr1,0,13,30,11,2
Attr0,0,0,31,4,4
Attr1,0,13,31,5,8
Attr0,0,0,32,4,4
Attr1,0,13,32,19,6
Attr0,0,0,33,4,4
Attr1,0,13,33,8,5
Attr3,0,28,33,26,2
Attr0,0,0,34,2,2
Attr1,0,13,34,7,6
Attr3,0,28,34,28,0
Attr0,0,0,35,2,2
Attr1,0,13,35,8,5
Attr3,0,28,35,35,7
Attr0,0,0,36,4,4
Attr1,0,13,36,5,8
Attr0,0,0,37,2,2
Attr0,0,0,38,2,2
Attr0,0,0,39,4,4
Attr1,0,13,39,17,4
Attr0,0,0,40,2,2
Attr0,0,0,41,2,2
Attr0,0,0,42,2,2
Attr0,0,0,43,4,4
Attr1,0,13,43,6,7
Attr3,0,28,43,23,5
Attr0,0,0,44,2,2
Attr1,0,13,44,6,7
Attr3,0,28,44,28,0
Attr0,0,0,45,2,2
Attr1,0,13,45,7,6
Attr3,0,28,45,35,7
Attr0,0,0,46,4,4
Attr0,0,0,47,4,4
Attr1,0,13,47,9,4
Attr0,0,0,48,4,4
Attr0,0,0,49,5,5
Attr1,0,13,49,7,6
Attr3,0,28,49,26,2
Attr0,0,0,50,4,4
Attr1,0,13,50,8,5
Attr3,0,28,50,34,6
Attr0,0,0,51,2,2
Attr1,0,13,51,13,0
Attr2,0,3250,51,3250,0
Attr0,0,0,52,4,4
Attr1,0,13,52,5,8
Attr3,0,28,52,23,5
Attr0,0,0,53,4,4
Attr1,0,13,53,8,5
Attr0,0,0,54,2,2
Attr1,0,13,54,7,6
Attr0,0,0,55,2,2
Attr1,0,13,55,11,2
Attr0,0,0,56,2,2
Attr0,0,0,57,4,4
Attr1,0,13,57,5,8
Attr3,0,28,57,26,2
Attr0,0,0,58,2,2
Attr1,0,13,58,6,7
Attr0,0,0,59,2,2
Attr1,0,13,59,5,8
Attr3,0,28,59,33,5
Attr0,0,0,60,4,4
Attr1,0,13,60,8,5
Attr0,0,0,61,4,4
Attr1,0,13,61,8,5
Attr0,0,0,62,2,2
Attr0,0,0,63,4,4
Attr0,0,0,64,4,4
Attr0,0,0,65,2,2
Attr0,0,0,66,2,2
Attr1,0,13,66,7,6
Attr0,0,0,67,2,2
Attr0,0,0,68,2,2
Attr0,0,0,69,2,2
Attr0,0,0,70,2,2
Attr0,0,0,72,4,4
Attr1,0,13,72,5,8
Attr3,0,28,72,33,5
Attr0,0,0,73,4,4
Attr1,0,13,73,6,7
Attr0,0,0,74,4,4
Attr3,0,28,74,26,2
Attr0,0,0,75,4,4
Attr1,0,13,75,5,8
Attr3,0,28,75,35,7
Attr0,0,0,76,2,2
Attr1,0,13,76,5,8
Attr1,0,13,77,8,5
Attr0,0,0,78,6,6
Attr0,0,0,79,4,4
Attr0,0,0,80,4,4
Attr0,0,0,81,4,4
Attr0,0,0,82,4,4
Attr0,0,0,83,4,4
Attr0,0,0,84,4,4
Attr0,0,0,85,8,8
Attr1,0,13,85,8,5
Attr0,0,0,86,4,4
Attr3,0,28,86,25,3
